时间,源水浊度,源水pH,源水温度,源水氨氮,源水COD,源水有机物,混凝剂投加量,沉后浊度,滤后浊度,出水浊度,出水余氯,出水pH
2024-01-01 00:00:00,7.94,6.99,5.0,0.429,5.94,0.0857,10.0,0.66,0.2,0.156,1.27,7.45
2024-01-01 01:00:00,6.98,7.09,6.4,0.429,6.0,0.0857,11.14,0.66,0.19,0.141,0.5,7.06
2024-01-01 02:00:00,8.19,7.06,6.16,0.43,5.86,0.0857,11.2,0.66,0.2,0.143,1.35,7.29
2024-01-01 03:00:00,7.73,6.98,6.37,0.429,5.81,0.0858,12.85,0.64,0.23,0.105,1.36,7.28
2024-01-01 04:00:00,6.0,7.03,5.46,0.429,5.65,0.0857,10.0,0.64,0.14,0.098,0.76,6.8
2024-01-01 05:00:00,8.52,7.03,5.0,0.43,6.0,0.0857,11.53,0.7,0.14,0.065,0.93,7.41
2024-01-01 06:00:00,7.91,6.95,5.27,0.429,6.0,0.0858,10.23,0.65,0.22,0.162,1.49,6.87
2024-01-01 07:00:00,7.98,6.92,5.0,0.43,5.83,0.0856,11.61,0.68,0.14,0.073,0.86,7.08
2024-01-01 08:00:00,6.09,7.0,6.74,0.429,5.88,0.0858,12.72,0.64,0.25,0.076,1.6,7.25
2024-01-01 09:00:00,7.02,,6.28,0.428,5.77,0.0858,13.47,0.67,0.21,0.16,0.87,7.17
2024-01-01 10:00:00,6.79,,5.19,0.429,5.68,0.0858,12.92,0.62,0.19,0.125,1.44,6.83
2024-01-01 11:00:00,,6.92,5.0,0.429,5.91,0.0858,10.0,0.71,0.26,0.17,0.86,6.62
2024-01-01 12:00:00,7.57,6.98,6.82,0.43,6.0,0.0857,10.0,0.67,0.22,0.164,1.4,6.75
2024-01-01 13:00:00,8.08,6.96,5.41,0.429,,0.0858,12.8,0.68,0.1,0.078,1.22,7.22
2024-01-01 14:00:00,7.0,6.98,5.15,0.429,5.62,0.0857,11.72,0.65,0.16,0.106,1.22,7.16
2024-01-01 15:00:00,6.38,7.07,6.83,0.43,5.97,0.0858,10.0,0.64,0.14,0.08,0.84,6.94
2024-01-01 16:00:00,7.32,,5.0,0.429,6.0,0.0856,10.0,0.69,0.16,0.061,1.15,6.93
2024-01-01 17:00:00,5.91,6.95,5.0,0.429,5.62,0.0858,10.0,0.64,0.12,0.078,0.92,
